OID_,Shape_Length,Shape_Area,Park Majority,Impervious_majority,Water_majority,Low_permeability,elevation_min
264,1862.649138,161016.3553,0,1,,1,11.23613262
265,2000,250000,0,1,,1,31.84622383
266,1727.996559,142194.4991,0,1,,1,8.279708862
267,1728.294983,142431.1018,0,1,,1,43.79972839
268,1104.895859,52363.81586,0,1,,1,96.09446716
269,2000,250000,0,1,,0,-0.102530211
270,1109.415766,52793.11183,0,1,,1,0
271,2000,250000,0,1,,1,6.181079865
272,2000,250000,0,1,,1,54.25520706
273,2000,250000,0,1,,1,14.33508492
274,2000,250000,0,1,,1,44.02135849
275,2000,250000,0,1,,1,-0.680000007
276,2000,250000,0,1,,1,3.691938639
277,2000,250000,0,1,,1,88.68001556
278,2000,250000,0,1,,1,15.30564213
279,2000,250000,0,1,,1,45.92452621
280,2000,250000,0,1,,1,6.949548721
281,2000,250000,0,1,,1,0.848605931
282,1730.291899,144006.4628,0,1,,1,36.6554985
283,1720.24398,135961.6282,0,1,,1,102.3892822
284,2000,250000,0,1,,0,105.0600281
285,2000,250000,0,1,,0,82.92008972
286,2000,250000,0,1,,1,-0.540000021
287,2000,250000,0,1,,1,-0.680000007
288,2000,250000,0,1,,0,34.60736847
289,124.7211257,483.5488029,0,1,,1,102.2567673
290,127.4026061,696.2168261,0,1,,1,50.31775284
291,1896.909562,234514.3946,0,1,,1,26.48873329
292,2000,250000,0,1,,1,22.51280022
293,2000,250000,0,1,,0,24.4103756
294,2000,250000,0,1,,1,61.51708603
295,2000,250000,0,1,,1,-0.259999096
296,2000,250000,0,1,,0,0
297,2000,250000,0,1,,1,50.69208908
298,1106.703856,52535.32718,0,1,,1,33.40937042
299,2000,250000,0,1,,1,30.41046524
300,1851.261189,213879.5334,0,1,,1,16.88316345
301,2000,250000,0,1,,0,41.09234619
302,2000,250000,0,1,,1,27.36982155
303,1108.512024,52707.13516,0,1,,1,-0.680000007
304,1103.991776,52278.15728,0,1,,1,6.053806305
305,2000,250000,0,1,,0,12.16448116
306,2000,250000,0,1,,1,11.66852188
307,1722.828202,138058.7368,0,1,,1,-0.680000007
308,2000,250000,0,1,,1,45.18635941
309,2000,250000,0,1,,1,69.52090454
310,1728.177562,142338.1071,0,1,,1,3.358600378
311,2000,250000,0,1,,0,81.69746399
312,398.3701611,1640.661491,0,1,,1,0
313,89.74808886,345.4922493,0,1,,1,-0.625244021
314,2000,250000,0,1,,0,3.137874842
315,1728.999772,142988.4344,0,1,,1,50.72190475
316,2000,250000,0,1,,1,-0.680000007
317,2000,250000,0,1,,1,58.66597748
318,2000,250000,0,1,,1,54.42193604
319,2000,250000,0,1,,1,26.95463562
320,2000,250000,0,1,,1,3.254655361
321,2000,250000,0,1,,1,33.6428833
322,2000,250000,0,1,,1,31.04454231
323,104.809725,471.184564,0,1,,1,18.82888412
324,2000,250000,0,1,,0,11.94917965
325,1896.754475,234467.7672,0,1,,0,68.79982758
326,2000,250000,0,1,,1,33.97927475
327,2000,250000,0,1,,1,0.376017123
328,1284.855249,81903.80233,0,1,,1,9.803676605
329,1728.647392,142709.9606,0,1,,0,49.70264435
330,2000,250000,0,1,,1,87.40634155
331,2000,250000,0,1,,1,-0.680000007
332,1718.305821,134376.031,0,1,,1,2.383293867
333,2000,250000,0,1,,0,0.442822069
334,2000,250000,0,1,,1,41.93693161
335,2000,250000,0,1,,1,-0.633381188
336,2000,250000,0,1,,1,58.88758087
337,2000,250000,0,1,,1,55.30338669
338,1723.474236,138579.9553,0,1,,1,4.679408073
339,1729.46966,143359.2084,0,1,,1,3.811640978
340,2000,250000,0,1,,1,4.660427094
341,2000,250000,0,1,,1,84.77937317
342,2000,250000,0,1,,1,17.27457619
343,2000,250000,0,1,,1,68.15450287
344,2000,250000,0,1,,1,-0.519999981
345,2000,250000,0,1,,0,13.50080395
346,2000,250000,0,1,,1,1.480762601
347,2000,250000,0,1,,1,3.710826159
348,2000,250000,0,1,,1,52.20121384
349,2000,250000,0,1,,1,51.9280777
350,2000,250000,0,1,,1,33.01542282
351,2000,250000,0,1,,1,22.14560509
352,2000,250000,0,1,,1,8.950409889
353,2000,250000,0,0,,1,18.67198753
354,2000,250000,0,1,,0,13.71474934
355,2000,250000,0,1,,1,-0.540000021
356,2000,250000,0,1,,1,-0.680000007
357,1111.223763,52965.32419,0,1,,1,3.624068022
358,2000,250000,0,1,,1,43.58962631
359,2000,250000,0,1,,1,5.144678116
360,127.9442401,702.1503099,0,1,,1,16.67614746
361,2000,250000,0,1,,1,90.68830109
362,2000,250000,0,1,,0,35.00607681
363,2000,250000,0,1,,0,0.529999971
364,354.2898917,1455.08053,0,1,,1,-0.680000007
365,2000,250000,0,1,,1,-1.923063993
366,2000,250000,0,1,,1,50.87398529
367,1729.822069,143636.8609,0,1,,1,69.33144379
368,2000,250000,0,1,,1,18.8743763
369,2000,250000,0,1,,0,-0.680000007
370,2000,250000,0,1,,1,-0.519999981
371,2000,250000,0,1,,1,9.047413826
372,2000,250000,0,1,,1,40.67832184
373,954.7755882,46764.10031,0,1,,1,0.739512861
374,2000,250000,0,1,,1,76.19081116
375,2000,250000,0,1,,1,11.42261219
376,2000,250000,0,1,,1,0
377,2000,250000,0,1,,1,23.20710373
378,2000,250000,0,1,,1,1.238811612
379,2000,250000,0,1,,1,-0.680000007
380,2000,250000,0,1,,1,-0.752291918
381,351.0725855,3787.10185,0,1,,1,31.58159256
382,1949.444295,203622.7604,0,1,,1,85.95480347
383,2000,250000,0,1,,0,45.24111176
384,2000,250000,0,1,,1,32.36587524
385,2000,250000,0,1,,1,-0.589999974
386,2000,250000,0,1,,1,16.90604973
387,130.6827808,732.5298859,0,1,,1,23.46841621
388,2000,250000,0,1,,1,48.41897964
389,1553.990211,118516.3278,0,1,,1,26.70077705
390,2000,250000,0,1,,1,21.19229317
391,2000,250000,0,1,,1,0
392,2000,250000,0,1,,1,61.44380569
393,1730.05697,143821.7308,0,1,,1,4.364659786
394,2000,250000,0,1,,1,9.929672241
395,1782.819001,179880.404,0,1,,1,26.11387253
396,2000,250000,0,1,,1,9.938933372
397,64.19499269,153.2784428,0,1,,1,2.918465853
398,2000,250000,0,1,,0,19.28034019
399,2000,250000,0,1,,1,23.7994976
400,2000,250000,0,1,,1,-0.540000021
401,2000,250000,0,1,,1,39.22267151
402,2000,250000,0,1,,1,2.571242571
403,2000,250000,0,1,,1,10.22916603
404,2000,250000,0,1,,1,32.85655212
405,2000,250000,0,1,,1,0.699976504
406,2000,250000,0,1,,1,11.40585709
407,1726.058458,140652.7369,0,1,,1,0.402144015
408,2000,250000,0,1,,1,64.04437256
409,2000,250000,0,1,,1,27.55591393
410,2000,250000,0,1,,1,61.10656738
411,1897.840201,234792.7222,0,1,,1,61.79177094
412,2000,250000,0,1,,1,70.48190308
413,2000,250000,0,1,,1,46.87820435
414,1729.11728,143081.2172,0,1,,0,15.46895599
415,2000,250000,0,1,,0,40.77139282
416,2000,250000,0,1,,1,-0.449459136
417,2000,250000,0,1,,1,-0.625059426
418,2000,250000,0,1,,1,-0.349999994
419,2000,250000,0,1,,1,88.43852234
420,2000,250000,0,1,,1,75.20493317
421,2000,250000,0,1,,1,73.99040985
422,2000,250000,0,1,,0,69.13883209
423,2000,250000,0,1,,1,-0.589999974
424,2000,250000,0,1,,1,-0.669343352
425,2000,250000,0,1,,1,0
426,2000,250000,0,1,,1,12.57282352
427,2000,250000,0,1,,1,16.62778091
428,2000,250000,0,1,,1,19.63832855
429,2000,250000,0,1,,1,29.68458557
430,2000,250000,0,1,,1,18.89743996
431,2000,250000,0,1,,1,40.02070618
432,2000,250000,0,1,,1,-0.680000007
433,2000,250000,0,1,,1,48.82133484
434,2000,250000,0,1,,1,19.63401222
435,1574.676326,126842.4948,0,1,,1,21.21052551
436,2000,250000,0,1,,1,18.37767982
437,1973.768441,245674.6706,0,1,,1,28.0893383
438,2000,250000,0,1,,1,58.47872162
439,2000,250000,0,1,,1,-0.680000007
440,2000,250000,0,1,,1,41.67025375
441,2000,250000,0,1,,1,82.98150635
442,2000,250000,0,1,,1,46.20459366
443,1865.312918,157903.1482,0,1,,0,47.88909149
444,1728.412462,142524.1027,0,1,,1,5.868005276
445,2000,250000,0,1,,1,3.812548637
446,2000,250000,0,1,,1,-0.589999974
447,2000,250000,0,1,,0,104.7260208
448,2000,250000,0,1,,1,-0.680000007
449,2000,250000,0,1,,0,-0.330000013
450,2000,250000,0,1,,1,43.3000946
451,2000,250000,0,1,,1,-0.519999981
452,2000,250000,0,1,,0,39.92255402
453,2000,250000,0,1,,1,11.06704235
454,2000,250000,0,1,,1,-0.419999987
455,2000,250000,0,1,,1,60.01974487
456,2000,250000,0,1,,1,21.03330612
457,2000,250000,0,1,,1,3.699892759
458,2000,250000,0,1,,1,43.27000046
459,2000,250000,0,1,,1,-0.680000007
460,2000,250000,0,1,,1,36.41468048
461,1897.995317,234838.8676,0,1,,0,45.62112427
462,131.1681432,737.9800697,0,1,,1,104.8066254
463,2000,250000,0,1,,0,49.70246506
464,2000,250000,0,1,,1,50.51236725
465,2000,250000,0,1,,1,80.5625
466,2000,250000,0,1,,1,-0.519999981
467,2000,250000,0,1,,1,23.78044128
468,121.7824381,636.1476722,0,1,,1,-0.680000007
469,2000,250000,0,1,,1,21.40322113
470,1719.597917,135434.3042,0,1,,1,53.13913727
471,1898.150404,234884.9343,0,1,,0,21.79509735
472,2000,250000,0,1,,1,-0.680000007
473,1730.580782,144233.2231,0,1,,1,57.608181
474,2000,250000,0,1,,1,-0.659698367
475,808.3261473,23512.1673,0,1,,1,2.738084555
476,101.0445294,437.9388782,0,1,,1,12.8315897
477,2000,250000,0,1,,1,12.61041641
478,2000,250000,0,1,,1,78.42053986
479,2000,250000,0,1,,1,2.248438835
480,2000,250000,0,1,,1,9.283009529
481,2000,250000,0,1,,1,1.117372155
482,119.8717027,616.3412572,0,1,,1,48.96660614
483,2000,250000,0,1,,1,77.134758
484,2000,250000,0,1,,1,66.76842499
485,1107.607769,52621.17989,0,1,,1,76.54431915
486,2000,250000,0,1,,0,62.019104
487,138.6990467,825.1536844,0,1,,1,17.06864357
488,2000,250000,0,1,,1,57.36973953
489,1285.778262,60742.93676,0,1,,1,-0.680000007
490,2000,250000,0,1,,1,12.91253185
491,2000,250000,0,1,,1,84.56300354
492,2000,250000,0,1,,1,29.89701462
493,112.34097,541.3326588,0,1,,0,58.19016266
494,1896.599359,234421.0608,0,1,,1,-0.680000007
495,2000,250000,0,1,,0,27.10856056
496,2000,250000,0,1,,0,-0.680000007
497,2000,250000,0,1,,1,78.40536499
498,2000,250000,0,1,,1,-0.100169361
499,2000,250000,0,1,,1,-0.680000007
500,2000,250000,0,1,,0,10.77867508
501,2000,250000,0,1,,0,-0.589999974
502,1897.685114,234746.5153,0,1,,1,9.289431572
